guid;stock;title;summary;published;p_date;sentiment_summary;sentiment_title
8e3635ac-bb53-3e9d-b9d5-4fd1372ead39;B;Barnes Aerospace Announces Expanded Aero Engine MRO Facility – East Granby, Connecticut;BRISTOL, Conn., April 09, 2024--Barnes Aerospace proudly announces the completion of its newly expanded Maintenance, Repair, and Overhaul (MRO) facility in East Granby, Connecticut. The project provides an additional 32,000 square feet of manufacturing space, bringing the facility total to more than 84,000 square feet. The facility specializes in highly complex repairs of cases, frames, diffusers, bearing housings, and major rotating hardware across a vast array of commercial and military engine;Tue, 09 Apr 2024 12:00:00 +0000;B_2024-04-09;0.5574;0.0
9769a10d-acb1-3036-ba1d-a3a47c6946ba;B;Barnes Announces Completion of Previously Announced Sale of Associated Spring™ and Hänggi™ Businesses;BRISTOL, Conn., April 04, 2024--Barnes Group Inc. (NYSE: B) today announced the completion of its previously announced sale of its Associated Spring™ and Hänggi™ businesses to One Equity Partners.;Thu, 04 Apr 2024 20:15:00 +0000;B_2024-04-04;0.0;0.0
ad4a5b73-4385-3d94-a9f5-512ac22639c9;B;Barnes Announces First Quarter 2024 Earnings Conference Call and Webcast;BRISTOL, Conn., March 20, 2024--Barnes Group Inc. (NYSE: B) today announced it will release first quarter 2024 financial results on Friday, April 26, 2024, before the market opens.;Wed, 20 Mar 2024 12:00:00 +0000;B_2024-03-20;0.0;0.0
e9af442c-4bba-32c5-a0bf-c9de16092022;B;BioArctic's partner Eisai presents updated sales simulation for Leqembi® at its annual press conference;BioArctic AB's (publ) (Nasdaq: BIOA B) (Stockholm: BIOA B) partner Eisai today published a presentation including a simulation[1] of potential future sales for Leqembi, the world's first fully approved disease-modifying treatment for Alzheimer's disease. According to Eisai's simulation, Leqembi sales will reach JPY 290 billion for their financial year (FY) 2026, which ends in March 2027 and JPY 1.6 trillion in FY2032.;Thu, 07 Mar 2024 05:49:00 +0000;B_2024-03-07;0.4927;0.0
f27cd63f-fdb1-3287-9811-7351fceedd66;B;Barnes Announces Update to Board of Directors;BRISTOL, Conn., March 05, 2024--Barnes Group Inc. (NYSE: B), a global provider of highly engineered products, differentiated industrial technologies, and innovative solutions, today announced the planned retirements of Chairman Thomas O. Barnes and Lead Independent Director Mylle H. Mangum, consistent with the Company’s corporate governance retirement policy, effective at the Company’s Annual Meeting of Stockholders in May 2024. Mr. Barnes will become Chairman Emeritus and continue to lead the B;Tue, 05 Mar 2024 21:15:00 +0000;B_2024-03-05;0.7717;0.0
4b494ce8-d167-38de-a318-a6eb22e4faf6;B;Barnes Group Full Year 2023 Earnings: EPS Beats Expectations;Barnes Group ( NYSE:B ) Full Year 2023 Results Key Financial Results Revenue: US$1.45b (up 15% from FY 2022). Net...;Fri, 01 Mar 2024 11:04:29 +0000;B_2024-03-01;0.0;0.0
7fbd217b-3c19-317a-81c3-4c4f5a32fe77;B;Barnes Aerospace Unveils New Facility in Singapore to Increase Engine Component Repair Capacity;BRISTOL, Conn., February 21, 2024--In the face of critical aerospace engine component repair capacity constraints within the aerospace industry, Barnes Aerospace is excited to announce that it has added a new component repair facility in Singapore. Barnes Aerospace’s component repair capacity to support customers’ needs in the region will increase, as does the facility footprint by approximately 50%.;Wed, 21 Feb 2024 11:30:00 +0000;B_2024-02-21;0.6249;0.3182
5e62248c-0170-3410-a1d3-1978c4b191a5;B;Barnes Group Inc. Beat Analyst Estimates: See What The Consensus Is Forecasting For This Year;Last week saw the newest full-year earnings release from Barnes Group Inc. ( NYSE:B ), an important milestone in the...;Mon, 19 Feb 2024 11:33:20 +0000;B_2024-02-19;0.2023;0.0
7de9b580-5a16-32d5-b9e0-37aeb6bf21d0;B;Barnes Group Inc. (NYSE:B) Q4 2023 Earnings Call Transcript;Barnes Group Inc. (NYSE:B) Q4 2023 Earnings Call Transcript February 16, 2024 Barnes Group Inc. isn’t one of the 30 most popular stocks among hedge funds at the end of the third quarter (see the details here). Operator: Good morning. My name is Krista and I will be your conference operator today. At this time […];Sat, 17 Feb 2024 13:17:48 +0000;B_2024-02-17;0.7178;0.0
891cad27-1033-3065-a5ce-df6f4d0134ee;B;Irenic Encourages Barnes Group to Move with Greater Urgency to Collaborate on Necessary Board Improvements;"NEW YORK, February 16, 2024--Irenic Capital Management LP (together with its affiliates, ""Irenic"" or ""we""), a top shareholder of Barnes Group Inc. (NYSE: B) (""Barnes"" or the ""Company"") and the beneficial owner of approximately 5.1% of the Company’s outstanding common stock, today issued the following statement from Co-Founder and Chief Investment Officer Adam Katz:";Fri, 16 Feb 2024 19:30:00 +0000;B_2024-02-16;0.8271;0.7717
fc58edb6-f6d0-3dd5-bf6d-478eec8fb360;B;Barnes Group Inc (B) Reports Mixed Fourth Quarter and Full Year 2023 Results Amid Strategic ...;Organic Sales Growth and Acquisition-Related Expansion Offset by Increased Interest Expense and Adjusted EPS Decline;Fri, 16 Feb 2024 11:52:21 +0000;B_2024-02-16;0.7717;0.0
066f9958-eead-355e-b2dd-c3eab13111ac;B;Barnes Reports Fourth Quarter and Full Year 2023 Financial Results;BRISTOL, Conn., February 16, 2024--Barnes Group Inc. (NYSE: B), a global provider of highly engineered products, differentiated industrial technologies, and innovative solutions, today reported financial results for the fourth quarter and full year 2023.;Fri, 16 Feb 2024 11:30:00 +0000;B_2024-02-16;0.5574;0.0
aa794c9f-935f-3f3c-9062-14787e31e1de;B;Barnes Group (NYSE:B) Has Affirmed Its Dividend Of $0.16;The board of Barnes Group Inc. ( NYSE:B ) has announced that it will pay a dividend on the 8th of March, with investors...;Thu, 15 Feb 2024 12:27:17 +0000;B_2024-02-15;-0.1027;0.0
502c874d-01c7-31bd-b1a9-e04ee13b915f;B;Barnes Declares Quarterly Dividend;BRISTOL, Conn., February 09, 2024--The Board of Directors of Barnes Group Inc. (NYSE: B) has declared a quarterly cash dividend of sixteen cents ($0.16) per share. The dividend will be payable March 8, 2024, to shareholders of record at the close of business on February 22, 2024.;Fri, 09 Feb 2024 15:18:00 +0000;B_2024-02-09;0.296;0.0
4baca39d-0774-3711-9c8f-64624f13a778;B;Flexxbotics and Zaptic Win Hexagon's Third 'Sixth Sense' Cohort of Advanced Manufacturing Startups;Hexagon's Manufacturing Intelligence division announces Flexxbotics and Zaptic winners of its third 'Sixth Sense' cohort. Both were chosen as winners following an intense program for the eight cohort participants that culminated with a pitching competition at the Sixth Sense Summit, at CodeNode in London yesterday. Acerta Analytics was named as the runner-up in Hexagon's third cohort.;Thu, 08 Feb 2024 15:53:00 +0000;B_2024-02-08;0.8625;0.7003
2a09e4b0-dacc-3daa-89b8-72a3a2c83560;B;Sectra continues its winning streak of global customer satisfaction with 5 Best in KLAS awards in 2024;International medical imaging IT and cybersecurity company Sectra (STO: SECT B) has won five Best in KLAS awards for its radiology module for enterprise imaging, Sectra PACS. This is the eleventh consecutive year in the US and fifth in Canada that Sectra has been ranked number one in customer satisfaction. Additionally, the new KLAS European categories resulted in Sectra wins for Northern and Southern Europe. The awards are given by the healthcare IT data and insights company KLAS Research.;Wed, 07 Feb 2024 14:26:00 +0000;B_2024-02-07;0.9674;0.926
